評価対象	評価特性	名称	説明
Repository	保守性	REMEDIATION_TIME	Repository別現在の推定修復時間
Repository	保守性	IMPLEMENTATION_TIME	Repository別現在の推定実装時間
Repository	保守性	TECHINICAL_DEBT_RATIO	Repository別現在の技術的負債比率
Repository	保守性	LETTER_GRADE	Repository別現在の技術的負債比率(英字)
Repository	保守性	LOC	Repository別現在の意味のあるコード行数
Repository	保守性	ISSUE_COUNT	Repository別現在の静的コード解析上の指摘数
Repository	保守性	TEST_COVERAGE	Repository別現在のテストカバレッジ
RullRequest	保守性	REMEDIATION_TIME_CHANGE_PER_PR	PullRequest別推定修復時間変動数
PullRequest	保守性	IMPLEMENTATION_TIME_CHANGE_PER_PR	PullRequest別推定実装時間変動数
PullRequest	保守性	TECHINICAL_DEBT_RATIO_CHANGE_PER_PR	PullRequest別技術的負債比率変動率
PullRequest	保守性	LETTER_GRADE_CHANGE_PER_PR	PullRequest別技術的負債比率(英字)変動有無
PullRequest	保守性	LOC_CHANGE_PER_PR	PullRequest別意味のあるコード行数変動数
PullRequest	保守性	ISSUE_COUNT_CHANGE_PER_PR	PullRequest別静的コード解析場の指摘数変動数
PullRequest	保守性	TEST_COVERAGE_CHANGE_PER_PR	PullRequest別テストカバレッジ変動率
PullRequest	生産性	REVIEWER_COUNT_PER_PR	PullRequest別コミッター数
PullRequest	生産性	REVIEW_CYCLES_PER_PR	PullRequest別レビュアー数
PullRequest	生産性	COMMITTER_COUNT_PER_PR	PullRequest別コミッター・レビュアーの往復応答回数
PullRequest	生産性	PR_COUNT	PullRequest総数
PullRequest	生産性	PR_COMMITTER_COUNT	PullRequestに関わったコミッター総数
PullRequest	生産性	PR_REVIEWR_COUNT	PullRequestに関わったレビュアー総数
PullRequest	生産性	PR_REVIEW_CYCLES	PullRequest上で行われたコミッター・レビュアーの往復応答回数総数
PullRequest	生産性	COMMITTER_COUNT_PER_PR_AVERAGE	PullRequestに関わったコミッター数のPullRequest平均
PullRequest	生産性	REVIEWR_COUNT_PER_PR_AVERAGE	PullRequestに関わったレビュアー数のPullRequest平均
PullRequest	生産性	PR_COUNT_PER_COMMITTER_AVERAGE	PullRequest数のコミッター平均
PullRequest	生産性	PR_REVIEW_CYCLES_AVERAGE	PullRequest上で行われたコミッター・レビュアーの往復応答回数のPullRequest平均
Developer	保守性	ACCUMULATED_REMEDIATION_TIME_CHANGE	PullRequest別推定修復時間変動数に関するコミッター別累積値
Developer	保守性	ACCUMULATED_IMPLEMENTATION_TIME_CHANGE	PullRequest別推定実装時間変動数に関するコミッター別累積値
Developer	保守性	ACCUMULATED_TECHNICAL_DEBT_RATIO_CHANGE	PullRequest別技術的負債比率変動率に関するコミッター別累積値
Developer	保守性	ACCUMULATED_LOC_CHANGE	PullRequest別意味のあるコード行数変動数に関するコミッター別累積値
Developer	保守性	ACCUMULATED_ISSUE_COUNT_CHANGE	PullRequest別静的コード解析上の指摘数変動数に関するコミッター別累積値
Developer	保守性	ACCUMULATED_TEST_COVERAGE_CHANGE	PullRequest別テストカバレッジの変動率に関するコミッター別累積値
Developer	生産性	PR_COUNT_PER_COMMITTER	コミッター別のPullRequest数
Developer	生産性	PR_COUNT_PER_REVIEWER	レビュアー別のPullRequest数
File	保守性	LOC_PER_FILE	ファイル別の意味のある行数
File	保守性	COMMITTER_COUNT_PER_FILE	ファイル別の変更者数
File	保守性	PR_COUNT_PER_FILE	ファイル別のPullRequest数
Block	保守性	CYCLOMATIC_COMPLEXITY	循環的複雑度
Block	保守性	CONGNITIVE_COMPLEXITY	認知的複雑度
PullRequest	生産性	TIME_TO_MERGE	PullRequest別のPullRequest作成からマージまでの時間
Repository	生産性	TIME_TO_MERGE_AVERAGE	PullRequest作成からマージまでの時間のPullRequest平均
PullRequest	生産性	TIME_TO_FIRST_REVIEW	PullRequest別のPullRequest作成から最初のレビューまでの時間
Repository	生産性	TIME_TO_FIRST_REVIEW_AVERAGE	PullRequest作成から最初のレビューまでの時間のPullRequest平均
PullRequest	生産性	TIME_TO_APPROVED	PullRequest別のPullRequest作成から承認されるまでの時間
Repository	生産性	TIME_TO_APPROVED_AVERAGE	PullRequest作成から承認されるまでの時間のPullRequest平均
