Name	Description	DataSource
PR_ID	各PullRequestのID	Github
PR_URL	各PullRequestのURL	Github
PR_TITLE	各PullRequestのタイトル	Github
PR_NUMBER	各PullRequestの番号	Github
PR_TYPE	各PullRequestの種別(BUGFIX,ENHANCEMENT,REFACTORING,DOCUMENTATION,CONFIGURATION)	None
PR_AUTHOR	各PullRequestの作成者名	Github
PR_CLOSER	各PullRequestの終了者名	Github
PR_COMMITTERS	各PullRequestのコミッター名(複数)	Github
PR_REVIEWERS	各PullRequestのレビュアー名(複数)	Github
PR_APPROVERS	各PullRequestの承認者者名(複数)	Github
PR_MERGER	各PullRequestのマージ者名	Github
PR_BRANCH_NAME	各PullRequestのブランチ名	Github
PR_PARENT_BRANCH_NAME	各PullRequestの派生元ブランチ名	Github
PR_CREATED_TIME	各PullRequestの作成日時	Github
PR_LAST_UPDATED_TIME	各PullRequestの最終更新日時	Github
PR_MERGED_TIME	各PullRequestのマージ日時	Github
PR_MERGED_COMMIT_HASH	各PullRequestのマージ時コミットハッシュ	Github
PR_REVIEW_COMMENT_BYTE_SIZE	各PullRequestに関するレビューコメントのバイト数	Github
PR_CHANGED_LINE_COUNT	各PullRequestに関する変更行数	Github
PR_CHANGED_FILE_COUNT	各PullRequestに関する変更ファイル数	Github
PR_REVIEW_CYCLES	各PullRequestに関するコミッター・レビュアー数間の往復応答回数	Github
PR_TIME_TO_FIRST_REVIEW	各PullRequestに関する作成から最初のレビューまでの時間	Github
PR_TIME_TO_APPROVE	各PullRequestに関する作成から承認までの時間	Github
PR_TIME_TO_MERGE	各PullRequestに関する作成からマージまでの時間	Github
PR_REMEDIATION_TIME_CHANGED	各PullRequestに関する推定修復時間変動数	CodeClimateQuality
PR_LOC_CHANGED	各PullRequestに関するLOC変動数	CodeClimateQuality
PR_ISSUE_COUNT_CHANGED	各PullRequestに関する指摘数変動数	CodeClimateQuality
PR_TEST_COVERAGE_CHANGED	各PullRequestに関するテストカバレッジ変動率	CodeClimateQuality
