Name	Description	DataSource
PR_COUNT	マージされたPullRequest総数	Github
PR_CHANGED_LINE_COUNT_AVERAGE	マージされたPullRequestに関する平均変更行数	Github
PR_CHANGED_FILE_COUNT_AVERAGE	マージされたPullRequestに関する平均変更ファイル数	Github
PR_TIME_TO_FIRST_REVIEW_AVERAGE	マージされたPullRequestに関する作成からFirstReviewまでの平均時間	Github
PR_TIME_TO_APPROVE_AVERAGE	マージされたPullRequestに関する作成からApproveまでの平均時間	Github
PR_TIME_TO_MERGE_AVERAGE	マージされたPullRequestに関する作成からMergeまでの平均時間	Github
PR_UNIQUE_COMMITTER_COUNT	マージされたPullRequestに関わったコミッター総数(重複を除く)	Github
PR_UNIQUE_REVIEWR_COUNT	マージされたPullRequestに関わったレビュアー総数(重複を除く)	Github
PR_REVIEW_CYCLES_AVERAGE	マージされたPullRequestに関するコミッター・レビュアーの平均往復応答回数	Github
PR_COUNT_PER_UNIQUE_COMMITTER_AVERAGE	マージされたPullRequest数平均(重複を除いたコミッター1人あたり換算)	Github
PR_TYPE_BUGFIX_RATIO	マージされたPullRequestにおけるバグ改修の占有率	None
PR_TYPE_ENHANCEMENT_RATIO	マージされたPullRequestにおける機能拡張の占有率	None
PR_TYPE_CONFIGURATION_RATIO	マージされたPullRequestにおける設定変更の占有率	None
PR_TYPE_REFACTORING_RATIO	マージされたPullRequestにおけるリファクタリングの占有率	None
PR_TYPE_DOCUMENTATION_RATIO	マージされたPullRequestにおける資料充足の占有率	None
