Name	Description
REPOSITORY_ID	リポジトリID
REPOSITORY_URL	リポジトリURL
REPOSITORY_NAME	リポジトリ名
REPOSITORY_CREATED_TIME	リポジトリ作成日時
REPOSITORY_LAST_UPDATED_TIME	リポジトリ最終更新日時
REPOSITORY_FILE_COUNT	ファイル数
REPOSITORY_REMEDIATION_TIME	推定修復時間
REPOSITORY_IMPLEMENTATION_TIME	推定実装時間
REPOSITORY_TECHINICAL_DEBT_RATIO	技術的負債比率
REPOSITORY_LETTER_GRADE	技術的負債比率(英字)
REPOSITORY_LOC	意味のあるコード行数
REPOSITORY_ISSUE_COUNT	静的コード解析上の指摘数
REPOSITORY_TEST_COVERAGE	テストカバレッジ
REPOSITORY_CONCRETE_CLASS_COUNT	具象クラス数
REPOSITORY_ABSTRACT_CLASS_COUNT	抽象クラス・インターフェース数
REPOSITORY_ABSTRACTION	コンポーネントの抽象度。CONCRETE_CLASS_COUNT/ABSTRACT_CLASS_COUNT
REPOSITORY_FAN_IN	コンポーネントが依存されている外部コンポーネント数
REPOSITORY_FAN_OUT	コンポーネントが依存している外部コンポーネント数
REPOSITORY_INSTABILITY	コンポーネントの不安定さ。FAN_IN/(FAN_IN+FAN_OUT)。0:最も安定,1:最も不安定。
REPOSITORY_SAP_DISTANCE	安定度・抽象度等価原則に関する主系列からの距離。|ABSTRACTION+INSTABILITY-1|。0:等価,1:最もかけ離れている。
