Name	Description
REMEDIATION_TIME	推定修復時間
IMPLEMENTATION_TIME	推定実装時間
TECHINICAL_DEBT_RATIO	技術的負債比率
LETTER_GRADE	技術的負債比率(英字)
LOC	意味のあるコード行数
ISSUE_COUNT	静的コード解析上の指摘数
TEST_COVERAGE	テストカバレッジ
FILE_COUNT	ファイル数
CLASS_COUNT	クラス数
ABSTRACT_CLASS_COUNT	抽象クラス・インターフェース数
COMPONENT_ABSTRACTION	コンポーネントの抽象度。CLASS_COUNT/INTERFACE_COUNT。
COMPONENT_FAN_IN	コンポーネントが依存されている外部コンポーネント数
COMPONENT_FAN_OUT	コンポーネントが依存している外部コンポーネント数
COMPONENT_INSTABILITY	コンポーネントの不安定さ。COMPONENT_FAN_IN/(COMPONENT_FAN_IN+COMPONENT_FAN_OUT)。0:最も安定,1:最も不安定。
COMPONENT_SAP_DISTANCE	安定度・抽象度等価原則に関する主系列からの距離。|COMPONENT_ABSTRACTION+COMPONENT_INSTABILITY-1|。0:等価,1:最もかけ離れている。
