Name	Description
TEAM_ID	各チームのID
TEAM_NAME	各チームの名称
TEAM_URL	各チームのURL
TEAM_MEMBERS	各チームにメンバーとして所属する開発者ID(複数)
TEAM_MAINTAINERS	各チームにメンテナーとして所属する開発者ID(複数)
TEAM_REPOSITORIES	各チームが管轄しているRepositoryID(複数)
TEAM_COMMITTED_PR_COUNT	各チームに関するコミッターとして活動したPullRequest数
TEAM_COMMITTED_PR_SIZE_AVERAGE	各チームに関するコミッターとして活動したPullRequestによる平均変更行数
TEAM_REVIEWED_PR_COUNT	各チームに関するレビュアーとして活動したPullRequest数
TEAM_REVIEWED_PR_SIZE_AVERAGE	各チームに関するレビュアーとして活動したPullRequestによる平均変更行数
TEAM_PR_TYPE_BUGFIX_COUNT	各チームに関するバグ改修PullRequest数
TEAM_PR_TYPE_ENHANCEMENT_COUNT	各チームに関する機能拡張PullRequest数
TEAM_PR_TYPE_CONFIGURATION_COUNT	各チームに関する設定変更PullRequest数
TEAM_PR_TYPE_REFACTORING_COUNT	各チームに関するリファクタリングPullRequest数
TEAM_PR_TYPE_DOCUMENTATION_COUNT	各チームに関する資料充足PullRequest数
TEAM_ACCUMULATED_PR_REMEDIATION_TIME_CHANGED	各チームに関するPullRequest別推定修復時間変動数の累積値
TEAM_ACCUMULATED_PR_LOC_CHANGED	各チームに関するPullRequest別LOC変動数の累積値
TEAM_ACCUMULATED_PR_ISSUE_COUNT_CHANGED	各チームに関するPullRequest別指摘数変動数の累積値
